date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2010",,75 Th. €,Bosnia-Herzegovina,2573.0,Zeljeznicar ,46205,750 Th. €,Edin Cocalic,09/10,Greece,169.0,Panionios 
"Jan 1, 2006",,-,Bosnia-Herzegovina,11252.0,Zeljeznicar U19 ,46205,-,Edin Cocalic,05/06,Bosnia-Herzegovina,2573.0,Zeljeznicar 
"Jan 1, 2016",,-,Belgium,515.0,Unattached ,52199,50 Th. €,Benny Rogiest,15/16,,12932.0,SK Lochristi 
"Jul 22, 2015",,-,Belgium,28643.0,Waasl.-Beveren ,52199,50 Th. €,Benny Rogiest,15/16,,515.0,Unattached 
"Jul 1, 2014",,Free transfer,Belgium,3791.0,KAA Gent U19 ,52199,-,Benny Rogiest,14/15,Belgium,28643.0,Waasl.-Beveren 
"Jan 31, 2014",,150 Th. €,Belgium,2974.0,Francs Borains ,61758,350 Th. €,Koffi,13/14,Belgium,968.0,KVC Westerlo 
"Jul 1, 2012",,?,Italy,12.0,AS Roma ,61758,300 Th. €,Koffi,12/13,Belgium,2974.0,Francs Borains 
"Jun 30, 2012",,End of loan,Belgium,2974.0,Francs Borains ,61758,300 Th. €,Koffi,11/12,Italy,12.0,AS Roma 
"Dec 1, 2011",,Loan,Italy,12.0,AS Roma ,61758,100 Th. €,Koffi,11/12,Belgium,2974.0,Francs Borains 
"Jul 1, 2011",,Free transfer,Italy,6195.0,SSC Napoli ,61758,100 Th. €,Koffi,11/12,Italy,12.0,AS Roma 
"Jun 30, 2011",,End of loan,Italy,8373.0,Siracusa ,61758,100 Th. €,Koffi,10/11,Italy,6195.0,SSC Napoli 
"Jan 1, 2011",,Loan,Italy,6195.0,SSC Napoli ,61758,150 Th. €,Koffi,10/11,Italy,8373.0,Siracusa 
"Dec 1, 2010",,?,Italy,10390.0,Sanremese Calcio ,61758,150 Th. €,Koffi,10/11,Italy,6195.0,SSC Napoli 
"Oct 1, 2010",,-,Italy,515.0,Unattached ,61758,150 Th. €,Koffi,10/11,,10390.0,Sanremese Calcio 
"Jul 1, 2010",,-,Italy,1385.0,Modena FC ,61758,150 Th. €,Koffi,10/11,,515.0,Unattached 
"Jul 1, 2007",,?,Italy,25737.0,Castelfranco ,61758,-,Koffi,07/08,Italy,1385.0,Modena FC 
"Jul 1, 2004",,?,Italy,14908.0,Modena ,61758,-,Koffi,04/05,Italy,25737.0,Castelfranco 
"Jan 20, 2016",,Free transfer,Turkey,3840.0,Adana Demirspor ,66616,500 Th. €,Daniel Mojsov,15/16,Cyprus,2156.0,AEK Larnaca 
"Jul 3, 2015",,Free transfer,Belgium,204.0,Lierse SK ,66616,500 Th. €,Daniel Mojsov,15/16,Turkey,3840.0,Adana Demirspor 
"Jan 8, 2015",,-,Belgium,515.0,Unattached ,66616,600 Th. €,Daniel Mojsov,14/15,,204.0,Lierse SK 
"Nov 27, 2014",,-,Norway,1100.0,SK Brann ,66616,600 Th. €,Daniel Mojsov,14/15,,515.0,Unattached 
"May 15, 2013",,-,Norway,515.0,Unattached ,66616,900 Th. €,Daniel Mojsov,12/13,,1100.0,SK Brann 
"Jan 1, 2013",,-,Serbia,448.0,Vojvodina ,66616,900 Th. €,Daniel Mojsov,12/13,,515.0,Unattached 
"Jul 1, 2010",,?,Macedonia,77.0,Vardar ,66616,750 Th. €,Daniel Mojsov,10/11,Serbia,448.0,Vojvodina 
"Mar 1, 2010",,?,Macedonia,8397.0,Makedonija ,66616,750 Th. €,Daniel Mojsov,09/10,Macedonia,77.0,Vardar 
"Dec 31, 2016",,End of loan,Kazakhstan,22220.0,FC Astana ,69401,750 Th. €,Besart Abdurahimi,16/17,Belgium,498.0,KSC Lokeren 
