date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 1, 2010",Free transfer,France,8524,Marseille B ,126502,-,Sébastien Fischetti,10/11,Luxembourg,3905,FC Wiltz 71 
"Jul 1, 2016",Free transfer,Luxembourg,3905,FC Wiltz 71 ,67625,75 Th. €,Rodrigue Kouayep,16/17,,75,Unknown 
"Jan 1, 2014",Free transfer,Cameroon,42876,New Star FC ,67625,-,Rodrigue Kouayep,13/14,Luxembourg,3905,FC Wiltz 71 
"Jul 1, 2012",Free transfer,Luxembourg,3905,FC Wiltz 71 ,67625,-,Rodrigue Kouayep,12/13,Cameroon,42876,New Star FC 
"Jul 1, 2010",Free transfer,Austria,10044,SV Horn ,67625,-,Rodrigue Kouayep,10/11,Luxembourg,3905,FC Wiltz 71 
"Jan 1, 2008",Free transfer,France,8241,SC Schiltigheim ,67625,-,Rodrigue Kouayep,07/08,Austria,10044,SV Horn 
"Jul 1, 2012",?,France,25638,SR Saint-Dié ,174126,-,Yusef Alimli,12/13,France,37023,ES Thaon 
"Jul 1, 2011",Free transfer,Luxembourg,12346,Pr. Niederkorn ,174126,-,Yusef Alimli,11/12,France,25638,SR Saint-Dié 
"Jan 1, 2011",Free transfer,France,25638,SR Saint-Dié ,174126,-,Yusef Alimli,10/11,Luxembourg,12346,Pr. Niederkorn 
"Jul 1, 2014",?,Belgium,3901,Charleroi Fleur ,106033,100 Th. â‚¬,Dimitri Parker,14/15,Belgium,3945,Sprimont  
"Jul 1, 2013",?,Belgium,29493,RUS Givry ,106033,100 Th. â‚¬,Dimitri Parker,13/14,Belgium,3901,FC Charleroi 
"Jul 1, 2011",Free transfer,Luxembourg,11976,CS Fola Esch ,106033,100 Th. â‚¬,Dimitri Parker,11/12,Belgium,29493,RUS Givry 
"Jun 30, 2011",End of loan,Belgium,3159,RFC LÃ¼ttich ,106033,100 Th. â‚¬,Dimitri Parker,10/11,Luxembourg,11976,CS Fola Esch 
"Jan 1, 2011",Loan,Luxembourg,11976,CS Fola Esch ,106033,100 Th. â‚¬,Dimitri Parker,10/11,Belgium,3159,RFC LÃ¼ttich 
"Jul 1, 2010",Free transfer,Belgium,3898,FC BrÃ¼ssel ,106033,100 Th. â‚¬,Dimitri Parker,10/11,Luxembourg,11976,CS Fola Esch 
"Jul 1, 2009",Free transfer,Belgium,3488,Mouscron U19 ,106033,-,Dimitri Parker,09/10,Belgium,3898,FC BrÃ¼ssel 
"Jul 1, 2008",Free transfer,Belgium,8164,Standard U19 ,106033,-,Dimitri Parker,08/09,Belgium,3488,Mouscron U19 
"Jul 1, 2012",?,France,75,Unknown ,30261,-,Arnaud Lunsi Diyakame,12/13,,10774,S. O. Châtellerault 
"Jul 1, 2011",Free transfer,Luxembourg,3905,FC Wiltz 71 ,30261,-,Arnaud Lunsi Diyakame,11/12,,75,Unknown 
"Jan 29, 2011",Free transfer,France,21676,Andrézieux ,30261,-,Arnaud Lunsi Diyakame,10/11,Luxembourg,3905,FC Wiltz 71 
"Jul 1, 2013",Free transfer,Luxembourg,13467,RFCU Luxembourg ,151099,-,Alexandre Abello,13/14,France,494,Toulon 
"Jul 1, 2010",?,France,11294,CSO Amneville ,151099,-,Alexandre Abello,10/11,Luxembourg,13467,RFCU Luxembourg 
"Jul 1, 2016",Free transfer,Luxembourg,29556,FC Orania Vianden ,124989,-,Rui Batista,16/17,Luxembourg,29621,RL Larochette 
"Jul 1, 2013",Free transfer,Luxembourg,21423,Erpeldange ,124989,-,Rui Batista,13/14,Luxembourg,29556,FC Orania Vianden 
"Jul 1, 2011",Free transfer,Luxembourg,3905,FC Wiltz 71 ,124989,-,Rui Batista,11/12,Luxembourg,21423,Erpeldange 
"Jul 1, 2009",Free transfer,Luxembourg,29556,FC Orania Vianden ,124989,-,Rui Batista,09/10,Luxembourg,3905,FC Wiltz 71 
"Jul 1, 2011",Free transfer,Luxembourg,3905,FC Wiltz 71 ,124990,-,Flavio Campos,11/12,Luxembourg,21640,FC Atert Bissen 
"Jul 1, 2009",Free transfer,Luxembourg,24206,Schieren ,124990,-,Flavio Campos,09/10,Luxembourg,3905,FC Wiltz 71 
"Jul 1, 2008",?,Portugal,8351,T. Moncorvo ,124990,-,Flavio Campos,08/09,Luxembourg,24206,Schieren 
"Jul 1, 2006",?,Portugal,12963,Boavista U19 ,124990,-,Flavio Campos,06/07,Portugal,8351,T. Moncorvo 
"Jul 1, 2012",?,France,28334,Bergerac ,132159,-,Roxan Rodriguez,12/13,France,29994,Gallia Club Lunel 
"Jul 1, 2011",?,Luxembourg,1257,Jeunesse Esch ,132159,-,Roxan Rodriguez,11/12,France,28334,Bergerac 
"Jul 1, 2010",?,Belgium,1199,RE Virton ,132159,-,Roxan Rodriguez,10/11,Luxembourg,1257,Jeunesse Esch 
"Aug 1, 2009",?,France,21679,FC Blagnac ,132159,-,Roxan Rodriguez,09/10,Belgium,1199,RE Virton 
