date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2011","2,50 Mill. €",Ukraine,339,Dnipropetrovsk ,59908,"5,00 Mill. €",Evgen Seleznev,11/12,Ukraine,660,Shakhtar D. 
"Jul 24, 2009","5,00 Mill. €",Ukraine,660,Shakhtar D. ,59908,"4,25 Mill. €",Evgen Seleznev,09/10,Ukraine,339,Dnipropetrovsk 
"Jun 30, 2008",End of loan,Ukraine,9007,Arsenal Kyiv ,59908,"2,25 Mill. €",Evgen Seleznev,07/08,Ukraine,660,Shakhtar D. 
"Jul 1, 2006",Loan,Ukraine,660,Shakhtar D. ,59908,-,Evgen Seleznev,06/07,Ukraine,9007,Arsenal Kyiv 
"Jan 1, 2006",-,Ukraine,8963,Shakhtar II ,59908,-,Evgen Seleznev,05/06,Ukraine,660,Shakhtar D. 
"Jul 1, 2001",-,Ukraine,31606,Shakhtar Donetsk U17 ,59908,-,Evgen Seleznev,01/02,Ukraine,8963,Shakhtar II 
"Jan 18, 2016",?,Brazil,17776,Chapecoense ,59930,"2,00 Mill. €",Apodi,15/16,Russia,2439,Kuban Krasnodar 
"Jan 1, 2015",-,Brazil,515,Unattached ,59930,750 Th. €,Apodi,14/15,,17776,Chapecoense 
"Jul 31, 2014",-,France,595,SC Bastia ,59930,800 Th. €,Apodi,14/15,,515,Unattached 
"Jul 1, 2014",?,Mexico,4961,Querétaro FC ,59930,800 Th. €,Apodi,14/15,France,595,SC Bastia 
"Jun 30, 2014",End of loan,Mexico,38387,Delfines ,59930,800 Th. €,Apodi,13/14,Mexico,4961,Querétaro FC 
"Jan 1, 2014",Loan,Mexico,4961,Querétaro FC ,59930,800 Th. €,Apodi,13/14,Mexico,38387,Delfines 
"Jan 7, 2013",?,Brazil,609,Cruzeiro ,59930,-,Apodi,12/13,Mexico,4961,Querétaro FC 
"Dec 31, 2012",End of loan,Brazil,2029,Ceará SC ,59930,-,Apodi,12/13,Brazil,609,Cruzeiro 
"Jan 1, 2012",Loan,Brazil,609,Cruzeiro ,59930,-,Apodi,11/12,Brazil,2029,Ceará SC 
"Dec 31, 2011",End of loan,Japan,3734,Tokyo Verdy ,59930,-,Apodi,11/12,Brazil,609,Cruzeiro 
"May 1, 2011",Loan,Brazil,609,Cruzeiro ,59930,-,Apodi,10/11,Japan,3734,Tokyo Verdy 
"Dec 31, 2010",End of loan,Brazil,1755,Guarani ,59930,300 Th. €,Apodi,10/11,Brazil,609,Cruzeiro 
"Jul 1, 2010",Loan,Brazil,609,Cruzeiro ,59930,750 Th. €,Apodi,10/11,Brazil,1755,Guarani 
"Jun 30, 2010",End of loan,Brazil,10010,Bahia ,59930,750 Th. €,Apodi,09/10,Brazil,609,Cruzeiro 
"Jan 1, 2010",Loan,Brazil,609,Cruzeiro ,59930,"1,20 Mill. €",Apodi,09/10,Brazil,10010,Bahia 
"Dec 31, 2009",End of loan,Brazil,2125,Vitória ,59930,"1,20 Mill. €",Apodi,09/10,Brazil,609,Cruzeiro 
"Jan 1, 2009",Loan,Brazil,609,Cruzeiro ,59930,700 Th. €,Apodi,08/09,Brazil,2125,Vitória 
"Dec 31, 2008",End of loan,Brazil,291,São Caetano ,59930,700 Th. €,Apodi,08/09,Brazil,609,Cruzeiro 
"Sep 1, 2008",Loan,Brazil,609,Cruzeiro ,59930,"1,40 Mill. €",Apodi,08/09,Brazil,291,São Caetano 
"Aug 31, 2008",End of loan,Brazil,221,Santos FC ,59930,"1,40 Mill. €",Apodi,08/09,Brazil,609,Cruzeiro 
"Jul 1, 2008",Loan,Brazil,609,Cruzeiro ,59930,"1,60 Mill. €",Apodi,08/09,Brazil,221,Santos FC 
"Jan 1, 2008",300 Th. €,Brazil,2125,Vitória ,59930,-,Apodi,07/08,Brazil,609,Cruzeiro 
"Jan 1, 2006",-,Brazil,15131,Esporte Clube Vitória B ,59930,-,Apodi,05/06,Brazil,2125,Vitória 
"Feb 18, 2016",450 Th. €,Belarus,1180,Dinamo Minsk ,66784,"1,20 Mill. €",Fatos Beqiraj,15/16,Russia,121,Dinamo Moscow 
"Jan 1, 2015",Free transfer,China,4768,CC Yatai ,66784,"1,00 Mill. €",Fatos Beqiraj,14/15,Belarus,1180,Dinamo Minsk 
"Feb 28, 2014","1,00 Mill. €",Croatia,419,Dinamo Zagreb ,66784,"2,00 Mill. €",Fatos Beqiraj,13/14,China,4768,CC Yatai 
