date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2003",-,Germany,27496,SV Broitzem U19 ,35405,-,Marc Pfitzner,03/04,Germany,7222,SV Broitzem 
"Jan 3, 2016",Free transfer,Germany,89,Union Berlin ,42787,200 Th. €,Bajram Nebihi,15/16,Germany,71,Stuttg. Kickers 
"Jul 1, 2014",Free transfer,Germany,167,FC Augsburg ,42787,100 Th. €,Bajram Nebihi,14/15,Germany,89,Union Berlin 
"Jul 1, 2013",-,Germany,5379,FC Augsburg II ,42787,100 Th. €,Bajram Nebihi,13/14,Germany,167,FC Augsburg 
"Aug 20, 2012",Free transfer,Germany,5683,TSV Landsberg ,42787,100 Th. €,Bajram Nebihi,12/13,Germany,5379,FC Augsburg II 
"Feb 8, 2012",Free transfer,Germany,1529,TSV Ampfing ,42787,100 Th. €,Bajram Nebihi,11/12,Germany,5683,TSV Landsberg 
"Sep 1, 2011",-,Germany,515,Unattached ,42787,100 Th. €,Bajram Nebihi,11/12,,1529,TSV Ampfing 
"Feb 1, 2011",-,Turkey,20,Bursaspor ,42787,100 Th. €,Bajram Nebihi,10/11,,515,Unattached 
"Dec 1, 2010",-,Turkey,515,Unattached ,42787,100 Th. €,Bajram Nebihi,10/11,,20,Bursaspor 
"Jul 1, 2010",-,Germany,110,W. Burghausen ,42787,100 Th. €,Bajram Nebihi,10/11,,515,Unattached 
"Jul 21, 2009",?,Iran,6081,Zob Ahan ,42787,100 Th. €,Bajram Nebihi,09/10,Germany,110,W. Burghausen 
"Aug 31, 2008",Free transfer,Germany,167,FC Augsburg ,42787,100 Th. €,Bajram Nebihi,08/09,Iran,6081,Zob Ahan 
"Jul 1, 2007",Free transfer,Germany,688,TSV Aindling ,42787,100 Th. €,Bajram Nebihi,07/08,Germany,167,FC Augsburg 
"Jul 1, 2006",Free transfer,Germany,9133,Regensburg U19 ,42787,-,Bajram Nebihi,06/07,Germany,688,TSV Aindling 
"Jul 1, 2005",Free transfer,Germany,38224,Ingolstadt U17 ,42787,-,Bajram Nebihi,05/06,Germany,9133,Regensburg U19 
"Jul 1, 2003",-,Germany,38223,Ingolstadt Jgd. ,42787,-,Bajram Nebihi,03/04,Germany,38224,Ingolstadt U17 
"Jul 1, 2016",Free transfer,Germany,254,SV Sandhausen ,42974,600 Th. €,Kevin Kratz,16/17,,75,Unknown 
"Jul 1, 2014",Free transfer,Germany,23,E. Braunschweig ,42974,"1,00 Mill. €",Kevin Kratz,14/15,Germany,254,SV Sandhausen 
"Jul 1, 2012",Free transfer,Germany,8,Alem. Aachen ,42974,800 Th. €,Kevin Kratz,12/13,Germany,23,E. Braunschweig 
"Jul 1, 2009",Free transfer,Germany,211,Leverkusen II ,42974,-,Kevin Kratz,09/10,Germany,8,Alem. Aachen 
"Jul 1, 2006",-,Germany,4713,Leverkusen U19 ,42974,-,Kevin Kratz,06/07,Germany,211,Leverkusen II 
"Jan 7, 2016",Free transfer,Germany,129,Dynamo Dresden ,46179,200 Th. €,Mathias Fetsch,15/16,Germany,269,Holstein Kiel 
"Jul 9, 2015",150 Th. €,Germany,167,FC Augsburg ,46179,200 Th. €,Mathias Fetsch,15/16,Germany,129,Dynamo Dresden 
"Jun 30, 2015",End of loan,Germany,129,Dynamo Dresden ,46179,250 Th. €,Mathias Fetsch,14/15,Germany,167,FC Augsburg 
"Aug 31, 2014",Loan,Germany,167,FC Augsburg ,46179,300 Th. €,Mathias Fetsch,14/15,Germany,129,Dynamo Dresden 
"Jun 30, 2014",End of loan,Germany,25,Energie Cottbus ,46179,300 Th. €,Mathias Fetsch,13/14,Germany,167,FC Augsburg 
"Jan 4, 2014",Loan,Germany,167,FC Augsburg ,46179,400 Th. €,Mathias Fetsch,13/14,Germany,25,Energie Cottbus 
"Jul 1, 2013",200 Th. €,Germany,107,K. Offenbach ,46179,400 Th. €,Mathias Fetsch,13/14,Germany,167,FC Augsburg 
"Jul 1, 2012",Free transfer,Germany,23,E. Braunschweig ,46179,200 Th. €,Mathias Fetsch,12/13,Germany,107,K. Offenbach 
"Jul 1, 2010",Free transfer,Germany,73,1860 München II ,46179,125 Th. €,Mathias Fetsch,10/11,Germany,23,E. Braunschweig 
"Jan 22, 2009",?,Germany,582,Karlsruhe II ,46179,50 Th. €,Mathias Fetsch,08/09,Germany,73,1860 München II 
"Jul 1, 2007",-,Germany,5370,Karlsruhe U19 ,46179,-,Mathias Fetsch,07/08,Germany,582,Karlsruhe II 
"Jul 1, 2005",-,Germany,21068,Karlsruhe U17 ,46179,-,Mathias Fetsch,05/06,Germany,5370,Karlsruhe U19 
"Jul 1, 2003",-,Germany,18065,Karlsruhe Jgd. ,46179,-,Mathias Fetsch,03/04,Germany,21068,Karlsruhe U17 
"Jul 1, 2015",Free transfer,Switzerland,504,Grasshoppers ,51053,500 Th. €,Daniel Davari,15/16,Germany,10,Arm. Bielefeld 
"Jul 1, 2014",Free transfer,Germany,23,E. Braunschweig ,51053,"1,25 Mill. €",Daniel Davari,14/15,Switzerland,504,Grasshoppers 
"Jul 1, 2009",Free transfer,Germany,851,FSV Mainz 05 II ,51053,100 Th. €,Daniel Davari,09/10,Germany,23,E. Braunschweig 
"Jul 1, 2007",-,Germany,5369,Mainz 05 U19 ,51053,-,Daniel Davari,07/08,Germany,851,FSV Mainz 05 II 
"Jul 1, 2005",-,Germany,21051,Mainz 05 U17 ,51053,-,Daniel Davari,05/06,Germany,5369,Mainz 05 U19 
"Jul 1, 2004",Free transfer,Germany,38971,TSG Wieseck U17 ,51053,-,Daniel Davari,04/05,Germany,21051,Mainz 05 U17 
"Jul 1, 2003",-,Germany,30791,TSG Wieseck Jugend ,51053,-,Daniel Davari,03/04,Germany,38971,TSG Wieseck U17 
"Jun 30, 2017",End of loan,Germany,129,Dynamo Dresden ,51069,300 Th. €,Stefan Kutschke,16/17,Germany,4,1.FC Nuremberg 
"Jan 8, 2016",Loan,Germany,4,1.FC Nuremberg ,51069,400 Th. €,Stefan Kutschke,15/16,Germany,129,Dynamo Dresden 
"Jul 1, 2015",250 Th. €,Germany,82,VfL Wolfsburg ,51069,600 Th. €,Stefan Kutschke,15/16,Germany,4,1.FC Nuremberg 
"Jun 30, 2015",End of loan,Germany,127,SC Paderborn ,51069,800 Th. €,Stefan Kutschke,14/15,Germany,82,VfL Wolfsburg 
"Jul 1, 2014",Loan fee:300 Th. €,Germany,82,VfL Wolfsburg ,51069,500 Th. €,Stefan Kutschke,14/15,Germany,127,SC Paderborn 
"Jul 1, 2013",Free transfer,Germany,23826,RB Leipzig ,51069,250 Th. €,Stefan Kutschke,13/14,Germany,82,VfL Wolfsburg 
"Jul 1, 2010",Free transfer,Germany,90,Babelsberg 03 ,51069,100 Th. €,Stefan Kutschke,10/11,Germany,23826,RB Leipzig 
"Jul 1, 2008",Free transfer,Germany,1405,FV Dresden 06 ,51069,-,Stefan Kutschke,08/09,Germany,90,Babelsberg 03 
"Jul 1, 2007",Free transfer,Germany,9056,D. Dresden U19 ,51069,-,Stefan Kutschke,07/08,Germany,1405,FV Dresden 06 
"Jan 1, 2007",?,Germany,15633,FV Dresden 06 Laubegast U19 ,51069,-,Stefan Kutschke,06/07,Germany,9056,D. Dresden U19 
"Aug 6, 2015",Free transfer,Germany,23,E. Braunschweig ,51106,150 Th. â‚¬,Jan Washausen,15/16,Germany,64,SV Elversberg 
"Jun 30, 2013",End of loan,Germany,107,K. Offenbach ,51106,200 Th. â‚¬,Jan Washausen,12/13,Germany,23,E. Braunschweig 
"Jan 18, 2013",Loan,Germany,23,E. Braunschweig ,51106,200 Th. â‚¬,Jan Washausen,12/13,Germany,107,K. Offenbach 
"Jul 1, 2007",-,Germany,9196,Braunschw. U19 ,51106,50 Th. â‚¬,Jan Washausen,07/08,Germany,23,E. Braunschweig 
"Jul 1, 2006",Free transfer,Germany,19100,SCW GÃ¶tt. U19 ,51106,-,Jan Washausen,06/07,Germany,9196,Braunschw. U19 
"Jul 1, 2015",Free transfer,Germany,56,RW Essen ,53424,100 Th. €,Björn Kluft,15/16,Germany,94,Erzgebirge Aue 
"Jan 9, 2015",Free transfer,Germany,23,E. Braunschweig ,53424,200 Th. €,Björn Kluft,14/15,Germany,56,RW Essen 
"Jun 30, 2014",End of loan,Germany,254,SV Sandhausen ,53424,200 Th. €,Björn Kluft,13/14,Germany,23,E. Braunschweig 
"Aug 28, 2013",Loan,Germany,23,E. Braunschweig ,53424,450 Th. €,Björn Kluft,13/14,Germany,254,SV Sandhausen 
"Jul 1, 2012",Free transfer,Germany,91,Preußen Münster ,53424,500 Th. €,Björn Kluft,12/13,Germany,23,E. Braunschweig 
"Jul 1, 2011",Free transfer,Germany,50,Rot Weiss Ahlen ,53424,100 Th. €,Björn Kluft,11/12,Germany,91,Preußen Münster 
"Jul 1, 2010",Free transfer,Germany,211,Leverkusen II ,53424,50 Th. €,Björn Kluft,10/11,Germany,50,Rot Weiss Ahlen 
"Jul 1, 2009",-,Germany,4713,Leverkusen U19 ,53424,-,Björn Kluft,09/10,Germany,211,Leverkusen II 
"Jul 1, 2007",-,Germany,21054,Leverkusen U17 ,53424,-,Björn Kluft,07/08,Germany,4713,Leverkusen U19 
"Jul 1, 2005",-,Germany,11874,Leverkusen Yth. ,53424,-,Björn Kluft,05/06,Germany,21054,Leverkusen U17 
"Jul 1, 2011",Free transfer,Germany,151,K'lautern II ,55597,200 Th. €,Marcel Correia,11/12,Germany,23,E. Braunschweig 
"Jul 1, 2010",-,Germany,2,1.FC K'lautern ,55597,200 Th. €,Marcel Correia,10/11,Germany,151,K'lautern II 
"Jul 1, 2009",-,Germany,151,K'lautern II ,55597,100 Th. €,Marcel Correia,09/10,Germany,2,1.FC K'lautern 
"Jan 1, 2008",-,Germany,2371,K'lautern U19 ,55597,-,Marcel Correia,07/08,Germany,151,K'lautern II 
"Jul 9, 2013","27,50 Mill. €",Ukraine,660,Shakhtar D. ,55735,"22,00 Mill. €",Henrikh Mkhitaryan,13/14,Germany,16,Bor. Dortmund 
"Aug 30, 2010","5,85 Mill. €",Ukraine,2783,Metalurg D. ,55735,"4,00 Mill. €",Henrikh Mkhitaryan,10/11,Ukraine,660,Shakhtar D. 
"Jul 1, 2009",350 Th. €,Armenia,10301,Pyunik Erevan ,55735,600 Th. €,Henrikh Mkhitaryan,09/10,Ukraine,2783,Metalurg D. 
"Jul 1, 2006",-,Armenia,21694,Pyunik II ,55735,-,Henrikh Mkhitaryan,06/07,Armenia,10301,Pyunik Erevan 
"Jul 1, 2005",-,Armenia,42773,FC Pyunik U18 ,55735,-,Henrikh Mkhitaryan,05/06,Armenia,21694,Pyunik II 
"Jun 30, 2003",End of loan,Brazil,14679,São Paulo U17 ,55735,-,Henrikh Mkhitaryan,02/03,Armenia,42773,FC Pyunik U18 
"Mar 1, 2003",Loan,Armenia,42773,FC Pyunik U18 ,55735,-,Henrikh Mkhitaryan,02/03,Brazil,14679,São Paulo U17 
"Jun 30, 2016",End of loan,Switzerland,452,BSC Young Boys ,59196,800 Th. €,Philipp Zulechner,15/16,Germany,60,SC Freiburg 
"Jan 1, 2016",Loan fee:150 Th. €,Germany,60,SC Freiburg ,59196,800 Th. €,Philipp Zulechner,15/16,Switzerland,452,BSC Young Boys 
"Dec 31, 2015",End of loan,Austria,14,Austria Vienna ,59196,800 Th. €,Philipp Zulechner,15/16,Germany,60,SC Freiburg 
"Jan 15, 2015",Loan,Germany,60,SC Freiburg ,59196,"1,00 Mill. €",Philipp Zulechner,14/15,Austria,14,Austria Vienna 
"Jan 24, 2014",700 Th. €,Austria,10131,SV Grödig ,59196,900 Th. €,Philipp Zulechner,13/14,Germany,60,SC Freiburg 
"Jul 1, 2013",Free transfer,Austria,10044,SV Horn ,59196,200 Th. €,Philipp Zulechner,13/14,Austria,10131,SV Grödig 
"Jul 1, 2011",?,Austria,10131,SV Grödig ,59196,-,Philipp Zulechner,11/12,Austria,10044,SV Horn 
"Jun 30, 2011",End of loan,Austria,10044,SV Horn ,59196,-,Philipp Zulechner,10/11,Austria,10131,SV Grödig 
"Jan 28, 2011",Loan,Austria,10131,SV Grödig ,59196,100 Th. €,Philipp Zulechner,10/11,Austria,10044,SV Horn 
"Jul 1, 2010",?,Austria,6227,RB Juniors ,59196,100 Th. €,Philipp Zulechner,10/11,Austria,10131,SV Grödig 
"Jul 1, 2008",-,Austria,11263,Salzburg U19 ,59196,50 Th. €,Philipp Zulechner,08/09,Austria,6227,RB Juniors 
"Jul 26, 2007",Free transfer,Austria,42816,AKA Admira U16 ,59196,-,Philipp Zulechner,07/08,Austria,11263,Salzburg U19 
"Jul 1, 2006",-,Austria,42815,AKA Admira U15 ,59196,-,Philipp Zulechner,06/07,Austria,42816,AKA Admira U16 
"Jul 15, 2005",Free transfer,Austria,42817,FAK U15 ,59196,-,Philipp Zulechner,05/06,Austria,42815,AKA Admira U15 
