clubId,league,name
2468,LIB1,Al-Ansar
22844,LIB1,Shabab Gazieh
388,LIB1,Tadamon Sour
22843,LIB1,Salam Zgharta
22845,LIB1,Shabab Sahel
46845,LIB1,Al-Nabi Sheet Club
45275,IND1,FC Pune City
45274,IND1,Mumbai City FC
45299,IND1,Chennaiyin FC
45321,IND1,FC Goa
45080,IND1,Delhi Dynamos FC
45276,IND1,NorthEast United FC
45278,IND1,Atlético de Kolkata
45277,IND1,Kerala Blasters FC
14320,SIN1,DPMM FC
4131,SIN1,Home United
6731,SIN1,Tampines Rovers
15356,SIN1,Warriors FC
23472,SIN1,Albirex Niigata (Singapore)
24991,SIN1,Balestier Khalsa
11979,SIN1,Hougang United
1226,SIN1,Geylang International
15367,SIN1,Courts Young Lions
34975,SIN1,Harimau Muda A
14099,INIL,East Bengal FC
14088,INIL,Dempo SC
27140,INIL,Salgaocar SC Goa
41030,INIL,Bengaluru FC
29572,INIL,Shillong Lajong FC
18044,INIL,Sporting Goa
46521,INIL,Bharat FC
14101,INIL,Mohun Bagan AC
29570,INIL,Pune FC
23522,INIL,Mumbai FC
45272,INIL,Royal Wahingdoh FC
36049,PHI1,Global FC
43556,PHI1,Ceres–La Salle FC
35951,PHI1,Loyola Meralco Sparks FC
38982,PHI1,Stallion FC
15305,PHI1,Kaya FC
38978,PHI1,Green Archers United FC
38981,PHI1,Pachanga Diliman
27362,PHI1,Philippine Army FC
42843,PHI1,Team Socceroo FC
43590,PHI1,Manila Jeepney FC
7,EGY1,El Ahly Cairo
664,EGY1,Zamalek SC
3595,EGY1,Ismaily SC
9218,EGY1,Enppi Club
9219,EGY1,Tala'ea El Gaish
3369,EGY1,Arab Contractors SC
22702,EGY1,Masr El Makasa
23387,EGY1,Smouha SC
3963,EGY1,Ittehad Alexandria
12093,EGY1,Harras El Hodoud
18234,EGY1,Wadi Degla FC
9094,EGY1,Masry Port Said
20572,EGY1,El Gouna FC
10957,EGY1,Petrojet
22707,EGY1,El Dakhlia SC
18268,EGY1,El Shorta
