name,Age,Contract until,Country of birth,Current club,Current club id,Date of birth,Detailed position,Display name,Foot,Height,In the team since,Intl caps/goals,Name in home country,National team id,Nationality,Place of birth,Player's agent,Player's agent id,Position,birthDate,id
Amir Karic,42,-,Jugoslawien (SFR),End of career,123,"Dec 31, 1973",Main position:Left-Back,Amir Karic,left,"1,84 m","Jul 1, 2012",64/1,,3588,Slovenia,Velenje,ONside International,807,Defence - Left-Back,"Dec 31, 1973 (42)",13321
Zeljko Mitrakovic,43,-,,End of career,123,"Dec 30, 1972",Main position:Defensive Midfield,Zeljko Mitrakovic,right,"1,87 m","Jul 1, 2015",7/0,Željko Mitrakovič,3588,Slovenia,,,,Midfield - Defensive Midfield,"Dec 30, 1972 (43)",89089
